tweet_id,timestamp,text,rating_numerator,rating_denominator,name,stage,retweet_count,favorite_count,1stconfident_dog_breed,p1_conf,p1_dog,2ndconfident_dog_breed,p2_conf,p2_dog,3rdconfident_dog_breed,p3_conf,p3_dog
891327558926688256,2017-07-29 16:00:24 +0000,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,,9028,39064,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True
890971913173991426,2017-07-28 16:27:12 +0000,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,,1984,11471,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False
890729181411237888,2017-07-28 00:22:40 +0000,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,,,18173,63310,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True
890609185150312448,2017-07-27 16:25:51 +0000,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,,4116,27006,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True
890240255349198849,2017-07-26 15:59:51 +0000,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,doggo,7105,30937,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
889880896479866881,2017-07-25 16:11:53 +0000,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,,4796,26998,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False
889278841981685760,2017-07-24 00:19:32 +0000,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,10.0,Oliver,,5189,24492,whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True
888804989199671297,2017-07-22 16:56:37 +0000,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13.0,10.0,Zeke,,4128,24795,golden_retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True
888554962724278272,2017-07-22 00:23:06 +0000,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13.0,10.0,Ralphus,,3405,19235,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,malamute,0.111411,True
887343217045368832,2017-07-18 16:08:03 +0000,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13.0,10.0,,,10054,32658,Mexican_hairless,0.330741,True,sea_lion,0.275645,False,Weimaraner,0.134203,True
886736880519319552,2017-07-16 23:58:41 +0000,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",13.0,10.0,Mingus,,3141,11662,kuvasz,0.309706,True,Great_Pyrenees,0.186136,True,Dandie_Dinmont,0.08634630000000001,True
885528943205470208,2017-07-13 15:58:47 +0000,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,13.0,10.0,Maisey,,6194,34909,pug,0.369275,True,Labrador_retriever,0.265835,True,kuvasz,0.134697,True
884925521741709313,2017-07-12 00:01:00 +0000,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",12.0,10.0,Earl,,17574,75032,Italian_greyhound,0.259916,True,American_Staffordshire_terrier,0.198451,True,Staffordshire_bullterrier,0.127725,True
884562892145688576,2017-07-11 00:00:02 +0000,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,13.0,10.0,Kevin,,4518,23548,pug,0.5464060000000001,True,French_bulldog,0.404291,True,Brabancon_griffon,0.0440019,True
884162670584377345,2017-07-09 21:29:42 +0000,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,12.0,10.0,Yogi,doggo,2875,19754,German_shepherd,0.707046,True,malinois,0.199396,True,Norwegian_elkhound,0.0491476,True
883838122936631299,2017-07-09 00:00:04 +0000,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,12.0,10.0,Noah,,3323,21223,Doberman,0.610946,True,miniature_pinscher,0.299603,True,kelpie,0.0630203,True
882992080364220416,2017-07-06 15:58:11 +0000,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,13.0,10.0,Rusty,,3782,23216,Eskimo_dog,0.466778,True,Siberian_husky,0.406044,True,dingo,0.07341439999999999,False
882627270321602560,2017-07-05 15:48:34 +0000,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,13.0,10.0,Stanley,,5876,27103,Pembroke,0.542982,True,Chihuahua,0.251988,True,Cardigan,0.107699,True
881906580714921986,2017-07-03 16:04:48 +0000,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ,12.0,10.0,Rey,,3281,23585,Weimaraner,0.291539,True,Chesapeake_Bay_retriever,0.278966,True,koala,0.12701700000000002,False
881666595344535552,2017-07-03 00:11:11 +0000,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,13.0,10.0,Gary,,10317,49115,Saluki,0.529012,True,Afghan_hound,0.25000300000000003,True,golden_retriever,0.16073900000000002,True
